"area_name","area_code","date","new_cases","total_cases"
"Hackney and City of London","E09000012",2020-06-10,1,784
"Hammersmith and Fulham","E09000013",2020-06-10,1,719
"Haringey","E09000014",2020-06-10,0,722
"Harrow","E09000015",2020-06-10,2,1254
"Havering","E09000016",2020-06-10,2,904
"Hillingdon","E09000017",2020-06-10,5,1037
"Hounslow","E09000018",2020-06-10,10,1004
"Islington","E09000019",2020-06-10,1,527
"Kensington and Chelsea","E09000020",2020-06-10,0,539
"Kingston upon Thames","E09000021",2020-06-10,1,721
"Lambeth","E09000022",2020-06-10,1,1338
"Lewisham","E09000023",2020-06-10,3,1172
"Merton","E09000024",2020-06-10,1,906
"Newham","E09000025",2020-06-10,1,1221
"Redbridge","E09000026",2020-06-10,6,1055
"Richmond upon Thames","E09000027",2020-06-10,1,520
"Southwark","E09000028",2020-06-10,1,1407
"Sutton","E09000029",2020-06-10,1,981
"Tower Hamlets","E09000030",2020-06-10,0,770
"Waltham Forest","E09000031",2020-06-10,0,969
"Wandsworth","E09000032",2020-06-10,1,1118
"Westminster","E09000033",2020-06-10,1,746
"Barking and Dagenham","E09000002",2020-06-11,1,679
"Barnet","E09000003",2020-06-11,1,1564
"Bexley","E09000004",2020-06-11,1,1019
"Brent","E09000005",2020-06-11,4,1689
"Bromley","E09000006",2020-06-11,0,1495
"Camden","E09000007",2020-06-11,2,686
"Croydon","E09000008",2020-06-11,3,1825
"Ealing","E09000009",2020-06-11,0,1499
"Enfield","E09000010",2020-06-11,2,1141
"Greenwich","E09000011",2020-06-11,1,925
"Hackney and City of London","E09000012",2020-06-11,0,784
"Hammersmith and Fulham","E09000013",2020-06-11,0,719
"Haringey","E09000014",2020-06-11,0,722
"Harrow","E09000015",2020-06-11,2,1256
"Havering","E09000016",2020-06-11,0,904
"Hillingdon","E09000017",2020-06-11,1,1038
"Hounslow","E09000018",2020-06-11,2,1006
"Islington","E09000019",2020-06-11,3,530
"Kensington and Chelsea","E09000020",2020-06-11,0,539
"Kingston upon Thames","E09000021",2020-06-11,1,722
"Lambeth","E09000022",2020-06-11,2,1340
"Lewisham","E09000023",2020-06-11,2,1174
"Merton","E09000024",2020-06-11,0,906
"Newham","E09000025",2020-06-11,1,1222
"Redbridge","E09000026",2020-06-11,4,1059
"Richmond upon Thames","E09000027",2020-06-11,0,520
"Southwark","E09000028",2020-06-11,0,1407
"Sutton","E09000029",2020-06-11,2,983
"Tower Hamlets","E09000030",2020-06-11,5,775
"Waltham Forest","E09000031",2020-06-11,4,973
"Wandsworth","E09000032",2020-06-11,1,1119
"Westminster","E09000033",2020-06-11,2,748
"Barking and Dagenham","E09000002",2020-06-12,3,682
"Barnet","E09000003",2020-06-12,1,1565
"Bexley","E09000004",2020-06-12,2,1021
"Brent","E09000005",2020-06-12,3,1692
"Bromley","E09000006",2020-06-12,0,1495
"Camden","E09000007",2020-06-12,2,688
"Croydon","E09000008",2020-06-12,0,1825
"Ealing","E09000009",2020-06-12,4,1503
"Enfield","E09000010",2020-06-12,4,1145
"Greenwich","E09000011",2020-06-12,3,928
"Hackney and City of London","E09000012",2020-06-12,0,784
"Hammersmith and Fulham","E09000013",2020-06-12,1,720
"Haringey","E09000014",2020-06-12,1,723
"Harrow","E09000015",2020-06-12,1,1257
"Havering","E09000016",2020-06-12,2,906
"Hillingdon","E09000017",2020-06-12,3,1041
"Hounslow","E09000018",2020-06-12,0,1006
"Islington","E09000019",2020-06-12,1,531
"Kensington and Chelsea","E09000020",2020-06-12,1,540
"Kingston upon Thames","E09000021",2020-06-12,2,724
"Lambeth","E09000022",2020-06-12,0,1340
"Lewisham","E09000023",2020-06-12,0,1174
"Merton","E09000024",2020-06-12,1,907
"Newham","E09000025",2020-06-12,2,1224
"Redbridge","E09000026",2020-06-12,7,1066
"Richmond upon Thames","E09000027",2020-06-12,2,522
"Southwark","E09000028",2020-06-12,0,1407
"Sutton","E09000029",2020-06-12,2,985
"Tower Hamlets","E09000030",2020-06-12,2,777
"Waltham Forest","E09000031",2020-06-12,0,973
"Wandsworth","E09000032",2020-06-12,0,1119
"Westminster","E09000033",2020-06-12,3,751
"Barking and Dagenham","E09000002",2020-06-13,2,684
"Barnet","E09000003",2020-06-13,2,1567
"Bexley","E09000004",2020-06-13,1,1022
"Brent","E09000005",2020-06-13,3,1695
"Bromley","E09000006",2020-06-13,1,1496
"Camden","E09000007",2020-06-13,1,689
"Croydon","E09000008",2020-06-13,0,1825
"Ealing","E09000009",2020-06-13,1,1504
"Enfield","E09000010",2020-06-13,2,1147
"Greenwich","E09000011",2020-06-13,0,928
"Hackney and City of London","E09000012",2020-06-13,2,786
"Hammersmith and Fulham","E09000013",2020-06-13,0,720
"Haringey","E09000014",2020-06-13,2,725
"Harrow","E09000015",2020-06-13,0,1257
"Havering","E09000016",2020-06-13,1,907
"Hillingdon","E09000017",2020-06-13,2,1043
"Hounslow","E09000018",2020-06-13,1,1007
"Islington","E09000019",2020-06-13,1,532
"Kensington and Chelsea","E09000020",2020-06-13,0,540
"Kingston upon Thames","E09000021",2020-06-13,2,726
"Lambeth","E09000022",2020-06-13,1,1341
"Lewisham","E09000023",2020-06-13,1,1175
"Merton","E09000024",2020-06-13,0,907
"Newham","E09000025",2020-06-13,5,1229
"Redbridge","E09000026",2020-06-13,2,1068
"Richmond upon Thames","E09000027",2020-06-13,0,522
"Southwark","E09000028",2020-06-13,2,1409
"Sutton","E09000029",2020-06-13,2,987
"Tower Hamlets","E09000030",2020-06-13,1,778
"Waltham Forest","E09000031",2020-06-13,0,973
"Wandsworth","E09000032",2020-06-13,0,1119
"Westminster","E09000033",2020-06-13,1,752
"Barking and Dagenham","E09000002",2020-06-14,1,685
"Barnet","E09000003",2020-06-14,0,1567
"Bexley","E09000004",2020-06-14,0,1022
"Brent","E09000005",2020-06-14,0,1695
"Bromley","E09000006",2020-06-14,2,1498
"Camden","E09000007",2020-06-14,2,691
"Croydon","E09000008",2020-06-14,1,1826
"Ealing","E09000009",2020-06-14,1,1505
"Enfield","E09000010",2020-06-14,1,1148
"Greenwich","E09000011",2020-06-14,0,928
"Hackney and City of London","E09000012",2020-06-14,0,786
"Hammersmith and Fulham","E09000013",2020-06-14,1,721
"Haringey","E09000014",2020-06-14,1,726
"Harrow","E09000015",2020-06-14,0,1257
"Havering","E09000016",2020-06-14,1,908
"Hillingdon","E09000017",2020-06-14,1,1044
"Hounslow","E09000018",2020-06-14,1,1008
"Islington","E09000019",2020-06-14,1,533
"Kensington and Chelsea","E09000020",2020-06-14,2,542
"Kingston upon Thames","E09000021",2020-06-14,0,726
"Lambeth","E09000022",2020-06-14,2,1343
"Lewisham","E09000023",2020-06-14,0,1175
"Merton","E09000024",2020-06-14,1,908
"Newham","E09000025",2020-06-14,1,1230
"Redbridge","E09000026",2020-06-14,5,1073
"Richmond upon Thames","E09000027",2020-06-14,0,522
"Southwark","E09000028",2020-06-14,1,1410
"Sutton","E09000029",2020-06-14,2,989
"Tower Hamlets","E09000030",2020-06-14,0,778
"Waltham Forest","E09000031",2020-06-14,1,974
"Wandsworth","E09000032",2020-06-14,1,1120
"Westminster","E09000033",2020-06-14,1,753
"Barking and Dagenham","E09000002",2020-06-15,1,686
"Barnet","E09000003",2020-06-15,2,1569
"Bexley","E09000004",2020-06-15,1,1023
"Brent","E09000005",2020-06-15,3,1698
"Bromley","E09000006",2020-06-15,1,1499
"Camden","E09000007",2020-06-15,0,691
"Croydon","E09000008",2020-06-15,0,1826
"Ealing","E09000009",2020-06-15,0,1505
"Enfield","E09000010",2020-06-15,3,1151
"Greenwich","E09000011",2020-06-15,1,929
"Hackney and City of London","E09000012",2020-06-15,2,788
"Hammersmith and Fulham","E09000013",2020-06-15,0,721
"Haringey","E09000014",2020-06-15,2,728
"Harrow","E09000015",2020-06-15,0,1257
"Havering","E09000016",2020-06-15,3,911
"Hillingdon","E09000017",2020-06-15,0,1044
"Hounslow","E09000018",2020-06-15,2,1010
"Islington","E09000019",2020-06-15,1,534
"Kensington and Chelsea","E09000020",2020-06-15,0,542
"Kingston upon Thames","E09000021",2020-06-15,0,726
"Lambeth","E09000022",2020-06-15,0,1343
"Lewisham","E09000023",2020-06-15,0,1175
"Merton","E09000024",2020-06-15,2,910
"Newham","E09000025",2020-06-15,3,1233
"Redbridge","E09000026",2020-06-15,2,1075
"Richmond upon Thames","E09000027",2020-06-15,0,522
"Southwark","E09000028",2020-06-15,1,1411
"Sutton","E09000029",2020-06-15,1,990
"Tower Hamlets","E09000030",2020-06-15,1,779
"Waltham Forest","E09000031",2020-06-15,2,976
"Wandsworth","E09000032",2020-06-15,2,1122
"Westminster","E09000033",2020-06-15,5,758
"Barking and Dagenham","E09000002",2020-06-16,0,686
"Barnet","E09000003",2020-06-16,2,1571
"Bexley","E09000004",2020-06-16,1,1024
"Brent","E09000005",2020-06-16,4,1702
"Bromley","E09000006",2020-06-16,1,1500
"Camden","E09000007",2020-06-16,1,692
"Croydon","E09000008",2020-06-16,0,1826
"Ealing","E09000009",2020-06-16,3,1508
"Enfield","E09000010",2020-06-16,3,1154
"Greenwich","E09000011",2020-06-16,1,930
"Hackney and City of London","E09000012",2020-06-16,1,789
"Hammersmith and Fulham","E09000013",2020-06-16,0,721
"Haringey","E09000014",2020-06-16,1,729
"Harrow","E09000015",2020-06-16,1,1258
"Havering","E09000016",2020-06-16,1,912
"Hillingdon","E09000017",2020-06-16,4,1048
"Hounslow","E09000018",2020-06-16,2,1012
"Islington","E09000019",2020-06-16,1,535
"Kensington and Chelsea","E09000020",2020-06-16,1,543
"Kingston upon Thames","E09000021",2020-06-16,1,727
"Lambeth","E09000022",2020-06-16,2,1345
"Lewisham","E09000023",2020-06-16,1,1176
"Merton","E09000024",2020-06-16,3,913
"Newham","E09000025",2020-06-16,2,1235
"Redbridge","E09000026",2020-06-16,1,1076
"Richmond upon Thames","E09000027",2020-06-16,1,523
"Southwark","E09000028",2020-06-16,1,1412
"Sutton","E09000029",2020-06-16,0,990
"Tower Hamlets","E09000030",2020-06-16,0,779
"Waltham Forest","E09000031",2020-06-16,5,981
"Wandsworth","E09000032",2020-06-16,0,1122
"Westminster","E09000033",2020-06-16,2,760
"Barking and Dagenham","E09000002",2020-06-17,2,688
"Barnet","E09000003",2020-06-17,2,1573
"Bexley","E09000004",2020-06-17,0,1024
"Brent","E09000005",2020-06-17,1,1703
"Bromley","E09000006",2020-06-17,0,1500
"Camden","E09000007",2020-06-17,0,692
"Croydon","E09000008",2020-06-17,1,1827
"Ealing","E09000009",2020-06-17,1,1509
"Enfield","E09000010",2020-06-17,2,1156
"Greenwich","E09000011",2020-06-17,3,933
"Hackney and City of London","E09000012",2020-06-17,0,789
